,ID,Segment type,Segment Description,Answer,Count,Percentage,It became a relationship
0,292890.897,web,"Meridian, Idaho",No,0,0,0
1,292887.987,web,"Meridian, Idaho",No,0,0,0
2,292894.0656,gender,"Meridian, Idaho",No,499.173606,0.225254764,0
3,292887.118,web,"Meridian, Idaho",No,0,0,0
4,292893.6561,gender,"Meridian, Idaho",No,455.925963,0.211359792,0
5,292896.2932,gender,"Meridian, Idaho",No,1091.176696,0.519163319,0
6,292889.6679,web,"Meridian, Idaho",No,0,0,0
7,293223,university,University of Iowa,Yes,1,0.333,0
8,292881.1384,mobile,"Meridian, Idaho",No,878.0804633,0.22803111,0
9,292889.6084,web,"Meridian, Idaho",No,0,0,0
10,292890.3917,web,"Meridian, Idaho",No,0,0,0
11,292901.5235,gender,"Meridian, Idaho",No,445.4963738,0.271811915,0
12,292892.2684,gender,"Meridian, Idaho",No,1118.156938,0.434512318,0
13,292887.4288,web,"Meridian, Idaho",No,0,0,0
14,292897.9815,gender,"Meridian, Idaho",No,985.6569693,0.507626495,0
15,292884.2696,mobile,"Meridian, Idaho",No,1411.022822,0.366268718,0
16,292902.2716,gender,"Meridian, Idaho",No,523.0411783,0.308201621,0
17,292889.3406,web,"Meridian, Idaho",No,0,0,0
18,293009,university,University of Wisconsin-Madison,No,71,0.563,0
19,292943.0117,university,"University of California, Davis",Yes,8.497077758,0.193544549,1
20,292887.016,web,"Meridian, Idaho",No,0,0,0
21,293099,university,"University of California, San Diego",No,0,0,0
22,292882.5488,mobile,"Meridian, Idaho",No,796.7761546,0.228494171,1
23,292883.4428,mobile,"Meridian, Idaho",No,1774.392524,0.46052161,0
24,292897.8191,gender,"Meridian, Idaho",No,566.0816207,0.266645332,0
25,292899.4996,gender,"Meridian, Idaho",No,549.8374429,0.282329365,0
26,292890.8158,web,"Meridian, Idaho",No,0,0,0
27,292896.9177,gender,"Meridian, Idaho",No,489.23807,0.252960981,0
28,292889.5282,web,"Meridian, Idaho",No,0,0,0
29,292899.5747,mobile,"Meridian, Idaho",No,823.6773447,0.466830299,1
30,293163,university,Cal Poly San Luis Obispo,Yes,8,0.32,0
31,293019.1113,university,Wesleyan University,I don't use Tinder,26.12029246,0.279897696,1
32,292900.0206,gender,"Meridian, Idaho",No,544.8012092,0.287191936,0
33,293655.4053,university,University of Delaware,No,4.900332844,0.5,1
34,292887.1403,web,"Meridian, Idaho",No,0,0,0
35,293575,university,Ohio University,I don't use Tinder,0,0,0
36,292902.8277,gender,"Meridian, Idaho",No,507.7741982,0.309961158,0
37,293272.2777,university,"University of California, Santa Cruz",Yes,4.36114724,0.323161887,1
38,292902.0408,gender,"Meridian, Idaho",No,525.2722908,0.306047443,0
39,292886.4858,mobile,"Meridian, Idaho",No,796.2071312,0.283133154,1
40,293045,university,University of Colorado Boulder,No,3,0.5,0
41,292900.8929,gender,"Meridian, Idaho",No,415.3851487,0.253366819,0
42,292890.6365,web,"Meridian, Idaho",No,0,0,0
43,293413,university,Rochester Institute of Technology,I don't use Tinder,0,0,1
44,292888.1764,mobile,"Meridian, Idaho",No,795.9627904,0.306595346,1
45,293661,university,Morehead State University,Yes,0,0,0
46,292900.2625,gender,"Meridian, Idaho",No,755.8871411,0.444965328,0
47,293337,university,University of Georgia,Yes,1,0.091,0
48,292893.6373,gender,"Meridian, Idaho",No,1145.138425,0.48136026,0
49,292893.5329,mobile,"Meridian, Idaho",No,934.0782407,0.39062563,1
50,292887.9146,web,"Meridian, Idaho",No,0,0,0
